Authority,Location,Period,Count
E06000056,Library,2023-11-01/P1M,19561
E06000056,Library,2023-12-01/P1M,16970
E06000056,Library,2024-01-01/P1M,19430
E06000056,Library,2024-02-01/P1M,15471
E06000056,Library,2024-03-01/P1M,18448
E06000056,Home delivery,2023-04-01/P1M,160
E06000056,Home delivery,2023-05-01/P1M,179
E06000056,Home delivery,2023-06-01/P1M,160
E06000056,Home delivery,2023-07-01/P1M,143
E06000056,Home delivery,2023-08-01/P1M,196
E06000056,Home delivery,2023-09-01/P1M,143
E06000056,Home delivery,2023-10-01/P1M,176
E06000056,Home delivery,2023-11-01/P1M,163
E06000056,Home delivery,2023-12-01/P1M,169
E06000056,Home delivery,2024-01-01/P1M,170
E06000056,Home delivery,2024-02-01/P1M,149
E06000056,Home delivery,2024-03-01/P1M,160
E06000050,Shared building,2023-02-01/P3M,680900
E06000050,Shared building,2023-05-01/P3M,851150
E06000050,Shared building,2023-08-01/P3M,697400
E06000050,Shared building,2023-11-01/P3M,813500
E06000050,Library,2023-02-01/P3M,716850
E06000050,Library,2023-05-01/P3M,624900
E06000050,Mobile library,2023-04-01/P1M,227
E06000050,Mobile library,2023-05-01/P1M,355
E06000050,Mobile library,2023-06-01/P1M,304
E06000050,Mobile library,2023-07-01/P1M,268
E06000050,Mobile library,2023-08-01/P1M,266
E06000050,Mobile library,2023-09-01/P1M,431
E06000050,Mobile library,2023-10-01/P1M,502
E06000050,Mobile library,2023-11-01/P1M,449
E06000050,Mobile library,2023-12-01/P1M,71
E06000050,Mobile library,2024-01-01/P1M,409
E06000050,Mobile library,2024-02-01/P1M,409
E06000050,Mobile library,2024-03-01/P1M,365
E06000050,Home delivery,2023-04-01/P1M,69
E06000050,Home delivery,2023-05-01/P1M,70
E06000050,Home delivery,2023-06-01/P1M,71
E06000050,Home delivery,2023-07-01/P1M,75
E06000050,Home delivery,2023-08-01/P1M,76
E06000050,Home delivery,2023-09-01/P1M,69
E06000050,Home delivery,2023-10-01/P1M,71
E06000050,Home delivery,2023-11-01/P1M,74
E06000050,Home delivery,2023-12-01/P1M,62
E06000050,Home delivery,2024-01-01/P1M,58
E06000050,Home delivery,2024-02-01/P1M,58
E06000050,Home delivery,2024-03-01/P1M,57
E06000052,Shared building,2023-04-01/P1M,69900
E06000052,Shared building,2023-05-01/P1M,53450
E06000052,Shared building,2023-06-01/P1M,76580
E06000052,Shared building,2023-07-01/P1M,74356
E06000052,Shared building,2023-08-01/P1M,100720
E06000052,Shared building,2023-09-01/P1M,69785
E06000052,Shared building,2023-10-01/P1M,76330
E06000052,Shared building,2023-11-01/P1M,54372
E06000052,Shared building,2023-12-01/P1M,30346
E06000052,Shared building,2024-01-01/P1M,64458
E06000052,Shared building,2024-02-01/P1M,58400
E06000052,Shared building,2024-03-01/P1M,67693
E08000026,Shared building,,68177
E08000026,Shared building,,67038
E08000026,Shared building,,65246
E08000026,Shared building,,73230
E08000026,Shared building,,70380
E08000026,Shared building,,72218
E08000026,Shared building,,76323
E08000026,Shared building,,70215
E08000026,Home delivery,,77
E08000026,Home delivery,,75
E08000026,Home delivery,,76
E08000026,Home delivery,,68
E08000026,Home delivery,,73
E08000026,Home delivery,,73
E08000026,Home delivery,,75
E08000026,Home delivery,,74
E06000063,Shared building,2023-04-01/P1M,30734
E06000063,Shared building,2023-05-01/P1M,30152
E06000063,Shared building,2023-06-01/P1M,31377
E06000063,Shared building,2023-07-01/P1M,37946
E06000063,Shared building,2023-08-01/P1M,38220
E06000063,Shared building,2023-09-01/P1M,34954
E06000063,Shared building,2023-10-01/P1M,41531
E06000063,Shared building,2023-11-01/P1M,39876
E06000063,Shared building,2023-12-01/P1M,29675
E06000063,Shared building,2024-01-01/P1M,38961
E06000063,Shared building,2024-02-01/P1M,42410
E06000063,Shared building,2024-03-01/P1M,45969
E06000063,Home delivery,2023-04-01/P1M,117
E06000063,Home delivery,2023-05-01/P1M,116
E06000063,Home delivery,2023-06-01/P1M,116
E06000063,Home delivery,2023-07-01/P1M,160
E06000063,Home delivery,2023-08-01/P1M,97
E06000063,Home delivery,2023-09-01/P1M,117
E06000063,Home delivery,2023-10-01/P1M,118
E06000063,Home delivery,2023-11-01/P1M,118
E06000063,Home delivery,2023-12-01/P1M,138
E06000063,Home delivery,2024-01-01/P1M,117
E06000063,Home delivery,2024-02-01/P1M,117
E06000063,Home delivery,2024-03-01/P1M,117
E06000005,Shared building,2023-04-01/P1M,4756
E06000005,Shared building,2023-05-01/P1M,5637
E06000005,Shared building,2023-06-01/P1M,5020
E06000005,Shared building,2023-07-01/P1M,5563
E06000005,Shared building,2023-08-01/P1M,6596
E06000005,Shared building,2023-09-01/P1M,16372
E06000005,Shared building,2023-10-01/P1M,25125
E06000005,Shared building,2023-11-01/P1M,29865
