Authority,Format,Content age group,Period,Count
E06000009,Physical book,Adult,2023-06-01/P1M,14558
E06000009,Physical book,Adult,2023-07-01/P1M,14607
E06000009,Physical book,Adult,2023-08-01/P1M,15573
E06000009,Physical book,Adult,2023-09-01/P1M,15970
E06000009,Physical book,Adult,2023-10-01/P1M,15096
E06000009,Physical book,Adult,2023-11-01/P1M,13954
E06000009,Physical book,Adult,2023-12-01/P1M,9441
E06000009,Physical book,Adult,2024-01-01/P1M,13940
E06000009,Physical book,Adult,2024-02-01/P1M,11727
E06000009,Physical book,Adult,2024-03-01/P1M,5867
E06000009,Physical book,Under 12,2023-04-01/P1M,12804
E06000009,Physical book,Under 12,2023-05-01/P1M,12272
E06000009,Physical book,Under 12,2023-06-01/P1M,13301
E06000009,Physical book,Under 12,2023-07-01/P1M,13834
E06000009,Physical book,Under 12,2023-08-01/P1M,15477
E06000009,Physical book,Under 12,2023-09-01/P1M,13848
E06000009,Physical book,Under 12,2023-10-01/P1M,13918
E06000009,Physical book,Under 12,2023-11-01/P1M,12066
E06000009,Physical book,Under 12,2023-12-01/P1M,6112
E06000009,Physical book,Under 12,2024-01-01/P1M,9151
E06000009,Physical book,Under 12,2024-02-01/P1M,8319
E06000009,Physical book,Under 12,2024-03-01/P1M,3622
E06000009,Physical audiobook,Adult,2023-04-01/P1M,249
E06000009,Physical audiobook,Adult,2023-05-01/P1M,305
E06000009,Physical audiobook,Adult,2023-06-01/P1M,273
E06000009,Physical audiobook,Adult,2023-07-01/P1M,248
E06000009,Physical audiobook,Adult,2023-08-01/P1M,239
E06000009,Physical audiobook,Adult,2023-09-01/P1M,213
E06000009,Physical audiobook,Adult,2023-10-01/P1M,278
E06000009,Physical audiobook,Adult,2023-11-01/P1M,227
E06000009,Physical audiobook,Adult,2023-12-01/P1M,219
E06000009,Physical audiobook,Adult,2024-01-01/P1M,308
E06000009,Physical audiobook,Adult,2024-02-01/P1M,274
E06000009,Physical audiobook,Adult,2024-03-01/P1M,172
E06000009,Physical audiobook,Under 12,2023-04-01/P1M,8
E06000009,Physical audiobook,Under 12,2023-05-01/P1M,10
E06000009,Physical audiobook,Under 12,2023-06-01/P1M,12
E06000009,Physical audiobook,Under 12,2023-07-01/P1M,12
E06000009,Physical audiobook,Under 12,2023-08-01/P1M,16
E06000009,Physical audiobook,Under 12,2023-09-01/P1M,11
E06000009,Physical audiobook,Under 12,2023-10-01/P1M,14
E06000009,Physical audiobook,Under 12,2023-11-01/P1M,8
E06000009,Physical audiobook,Under 12,2023-12-01/P1M,5
E06000009,Physical audiobook,Under 12,2024-01-01/P1M,7
E06000009,Physical audiobook,Under 12,2024-02-01/P1M,10
E06000009,Ebook,Adult,2023-04-01/P1M,849
E06000009,Ebook,Adult,2023-05-01/P1M,866
E06000009,Ebook,Adult,2023-06-01/P1M,789
E06000009,Ebook,Adult,2023-07-01/P1M,909
E06000009,Ebook,Adult,2023-08-01/P1M,853
E06000009,Ebook,Adult,2023-09-01/P1M,846
E06000009,Ebook,Adult,2023-10-01/P1M,824
E06000009,Ebook,Adult,2023-11-01/P1M,751
E06000009,Ebook,Adult,2023-12-01/P1M,824
E06000009,Ebook,Adult,2024-01-01/P1M,901
E06000009,Ebook,Adult,2024-02-01/P1M,910
E06000009,Ebook,Adult,2024-03-01/P1M,898
E06000009,Ebook,Under 12,2023-04-01/P1M,58
E06000009,Ebook,Under 12,2023-05-01/P1M,79
E06000009,Ebook,Under 12,2023-06-01/P1M,62
E06000009,Ebook,Under 12,2023-07-01/P1M,82
E06000009,Ebook,Under 12,2023-08-01/P1M,75
E06000009,Ebook,Under 12,2023-09-01/P1M,52
E06000009,Ebook,Under 12,2023-10-01/P1M,60
E06000009,Ebook,Under 12,2023-11-01/P1M,61
E06000009,Ebook,Under 12,2023-12-01/P1M,73
E06000009,Ebook,Under 12,2024-01-01/P1M,74
E06000009,Ebook,Under 12,2024-02-01/P1M,98
E06000009,Ebook,Under 12,2024-03-01/P1M,89
E06000009,Eaudio,Adult,2023-04-01/P1M,346
E06000009,Eaudio,Adult,2023-05-01/P1M,380
E06000009,Eaudio,Adult,2023-06-01/P1M,355
E06000009,Eaudio,Adult,2023-07-01/P1M,418
E06000009,Eaudio,Adult,2023-08-01/P1M,399
E06000009,Eaudio,Adult,2023-09-01/P1M,446
E06000009,Eaudio,Adult,2023-10-01/P1M,428
E06000009,Eaudio,Adult,2023-11-01/P1M,444
E06000009,Eaudio,Adult,2023-12-01/P1M,384
E06000009,Eaudio,Adult,2024-01-01/P1M,402
E06000009,Eaudio,Adult,2024-02-01/P1M,465
E06000009,Eaudio,Adult,2024-03-01/P1M,443
E06000009,Eaudio,Under 12,2023-04-01/P1M,57
E06000009,Eaudio,Under 12,2023-05-01/P1M,77
E06000009,Eaudio,Under 12,2023-06-01/P1M,87
E06000009,Eaudio,Under 12,2023-07-01/P1M,107
E06000009,Eaudio,Under 12,2023-08-01/P1M,81
E06000009,Eaudio,Under 12,2023-09-01/P1M,96
E06000009,Eaudio,Under 12,2023-10-01/P1M,61
E06000009,Eaudio,Under 12,2023-11-01/P1M,91
E06000009,Eaudio,Under 12,2023-12-01/P1M,69
E06000009,Eaudio,Under 12,2024-01-01/P1M,60
E06000009,Eaudio,Under 12,2024-02-01/P1M,82
E06000009,Eaudio,Under 12,2024-03-01/P1M,82
E08000001,Physical book,Adult,2023-04-01/P1M,14461
E08000001,Physical book,Adult,2023-05-01/P1M,14402
E08000001,Physical book,Adult,2023-06-01/P1M,15169
E08000001,Physical book,Adult,2023-07-01/P1M,16566
E08000001,Physical book,Adult,2023-08-01/P1M,17374
E08000001,Physical book,Adult,2023-09-01/P1M,15366
E08000001,Physical book,Adult,2023-10-01/P1M,15427
E08000001,Physical book,Adult,2023-11-01/P1M,14891
E08000001,Physical book,Adult,2023-12-01/P1M,12992
E08000001,Physical book,Adult,2024-01-01/P1M,14096
E08000001,Physical book,Adult,2024-02-01/P1M,15066
E08000001,Physical book,Adult,2024-03-01/P1M,15215
E08000001,Physical book,Under 12,2023-04-01/P1M,11170
E08000001,Physical book,Under 12,2023-05-01/P1M,9898
E08000001,Physical book,Under 12,2023-06-01/P1M,10458
E08000001,Physical book,Under 12,2023-07-01/P1M,17004
E08000001,Physical book,Under 12,2023-08-01/P1M,18077
E08000001,Physical book,Under 12,2023-09-01/P1M,11557
E08000001,Physical book,Under 12,2023-10-01/P1M,12601
E08000001,Physical book,Under 12,2023-11-01/P1M,11031
E08000001,Physical book,Under 12,2023-12-01/P1M,8860
E08000001,Physical book,Under 12,2024-01-01/P1M,11816
E08000001,Physical book,Under 12,2024-02-01/P1M,13960
E08000001,Physical book,Under 12,2024-03-01/P1M,13545
E08000001,Physical audiobook,Adult,2023-04-01/P1M,687
E08000001,Physical audiobook,Adult,2023-05-01/P1M,611
E08000001,Physical audiobook,Adult,2023-06-01/P1M,701
E08000001,Physical audiobook,Adult,2023-07-01/P1M,755
E08000001,Physical audiobook,Adult,2023-08-01/P1M,733
E08000001,Physical audiobook,Adult,2023-09-01/P1M,616
E08000001,Physical audiobook,Adult,2023-10-01/P1M,705
E08000001,Physical audiobook,Adult,2023-11-01/P1M,752
E08000001,Physical audiobook,Adult,2023-12-01/P1M,558
E08000001,Physical audiobook,Adult,2024-01-01/P1M,594
E08000001,Physical audiobook,Adult,2024-02-01/P1M,635
E08000001,Physical audiobook,Adult,2024-03-01/P1M,594
E08000001,Physical audiobook,Under 12,2023-04-01/P1M,12
E08000001,Physical audiobook,Under 12,2023-05-01/P1M,8
E08000001,Physical audiobook,Under 12,2023-06-01/P1M,13
E08000001,Physical audiobook,Under 12,2023-07-01/P1M,29
E08000001,Physical audiobook,Under 12,2023-08-01/P1M,31
E08000001,Physical audiobook,Under 12,2023-09-01/P1M,18
E08000001,Physical audiobook,Under 12,2023-10-01/P1M,27
E08000001,Physical audiobook,Under 12,2023-11-01/P1M,17
E08000001,Physical audiobook,Under 12,2023-12-01/P1M,7
E08000001,Physical audiobook,Under 12,2024-01-01/P1M,15
E08000001,Physical audiobook,Under 12,2024-02-01/P1M,31
E08000001,Physical audiobook,Under 12,2024-03-01/P1M,15
E08000001,Ebook,Unknown,2023-04-01/P1M,3347
E08000001,Ebook,Unknown,2023-05-01/P1M,3458
E08000001,Ebook,Unknown,2023-06-01/P1M,3271
E08000001,Ebook,Unknown,2023-07-01/P1M,3605
E08000001,Ebook,Unknown,2023-08-01/P1M,3653
E08000001,Ebook,Unknown,2023-09-01/P1M,3267
E08000001,Ebook,Unknown,2023-10-01/P1M,3402
E08000001,Ebook,Unknown,2023-11-01/P1M,3258
E08000001,Ebook,Unknown,2023-12-01/P1M,3317
E08000001,Ebook,Unknown,2024-01-01/P1M,3475
E08000001,Ebook,Unknown,2024-02-01/P1M,3310
E08000001,Ebook,Unknown,2024-03-01/P1M,3495
E08000001,Physical audiobook,Unknown,2023-04-01/P1M,3874
E08000001,Physical audiobook,Unknown,2023-05-01/P1M,3989
E08000001,Physical audiobook,Unknown,2023-06-01/P1M,3886
