Authority code,Authority nice name,Library service,Period,Users,Events,Attendance,Loans,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult,Nearest neighbour 1,Nearest neighbour 2,Nearest neighbour 3,Nearest neighbour 4,Nearest neighbour 5
E06000061,North Northamptonshire,North Northamptonshire Council,2023-04-01/P1Y,,,,,,,,53184,29929,290758,E10000024,E06000031,E06000062,E06000005,E10000018
E06000062,West Northamptonshire,West Northamptonshire Council,2023-04-01/P1Y,,,,,,,,62612,33683,343516,E08000029,E06000024,E10000016,E08000035,E06000050
E08000009,Trafford,Trafford Metropolitan Borough Council,2023-04-01/P1Y,,,,,,,,36048,20689,184288,E08000007,E10000015,E06000007,E08000035,E08000029
E08000012,Liverpool,Liverpool City Council,2023-04-01/P1Y,,,,,,,,65978,31824,411159,E06000018,E08000025,E08000032,E06000021,E08000026
E08000025,Birmingham,Birmingham City Council,2023-04-01/P1Y,,,,,,,,190795,102064,890759,E08000032,E06000016,E08000031,E08000030,E08000026
E08000035,Leeds,Leeds City Council,2023-04-01/P1Y,,,,,,,,116059,60180,668950,E08000021,E06000058,E06000035,E06000023,E08000007
E09000008,Croydon,London Borough of Croydon,2023-04-01/P1Y,,,,,,,,61779,32166,315397,E09000009,E09000024,E06000045,E09000014,E09000006
E09000010,Enfield,London Borough of Enfield,2023-04-01/P1Y,,,,,,,,51044,29287,247103,E06000032,E09000017,E09000004,E09000026,E09000015
E09000016,Havering,London Borough of Havering,2023-04-01/P1Y,,,,,,,,43072,20705,212497,E06000034,E09000004,E10000015,E10000012,E06000035
E09000031,Waltham Forest,London Borough of Waltham Forest,2023-04-01/P1Y,,,,,,,,42656,20008,217073,E09000023,E09000014,E09000005,E09000003,E09000011
E10000012,Essex,Essex County Council,2023-04-01/P1Y,,,,,,,,215649,113548,1234168,E10000016,E10000015,E06000035,E06000024,E06000056
E10000013,Gloucestershire,Gloucestershire County Council,2023-04-01/P1Y,,,,,,,,84570,48593,536217,E06000066,E06000054,E10000014,E10000032,E10000008
